M,N,K,cuBLAS,Naive,TMA,Persistent,TMA Persistent,Descriptor Persistent,Pipelined,TileLang
256.000000,256.000000,256.000000,11.155591,10.972419,10.311905,6.585425,9.158754,5.666906,8.543337,10.695948
512.000000,512.000000,512.000000,69.376180,65.445368,66.501429,34.601603,57.785768,38.951327,48.885282,69.191131
1024.000000,1024.000000,1024.000000,299.506688,219.662830,247.526969,116.361153,236.901067,183.334697,198.353955,306.653303
2048.000000,2048.000000,2048.000000,394.294966,313.990611,330.314797,172.746178,344.706275,310.664637,255.007309,376.238130
4096.000000,4096.000000,4096.000000,356.494532,344.740939,335.288806,212.175095,359.530598,371.612857,319.722754,356.714913
8192.000000,8192.000000,8192.000000,369.236634,341.835642,363.496214,233.817660,365.537879,356.829385,352.135653,389.501347
16384.000000,16384.000000,16384.000000,369.283840,334.718352,320.863229,233.497178,357.509645,371.492518,345.760985,369.356554
32768.000000,32768.000000,32768.000000,315.086713,315.563392,310.266011,215.709553,321.844208,334.261083,292.128650,327.945172
