M,N,K,cuBLAS,Naive,TMA,Persistent,TMA Persistent,Descriptor Persistent,Pipelined,TileLang
256.000000,256.000000,256.000000,11.153306,11.004522,10.325853,6.564331,9.136912,5.343427,7.433945,10.707859
512.000000,512.000000,512.000000,69.800705,65.343582,66.521794,35.120969,57.956639,38.620814,37.484230,69.488387
1024.000000,1024.000000,1024.000000,291.102014,221.975454,248.642878,117.488573,236.257694,183.504764,160.224756,303.701474
2048.000000,2048.000000,2048.000000,390.460318,310.866708,305.915609,168.262373,349.717884,295.592490,235.422472,417.998518
4096.000000,4096.000000,4096.000000,387.692080,350.259925,330.789915,213.142048,390.295339,373.901344,276.107796,385.132013
8192.000000,8192.000000,8192.000000,382.860450,341.941956,361.836517,233.755415,378.867328,357.270122,300.722619,382.782164
16384.000000,16384.000000,16384.000000,367.682408,335.114789,362.482975,232.851483,371.072765,362.134360,295.243025,380.993839
