M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,10.543191,11.157874
512.000000,512.000000,512.000000,68.749434,72.799513
1024.000000,1024.000000,1024.000000,303.326467,228.769302
2048.000000,2048.000000,2048.000000,378.437955,326.476629
4096.000000,4096.000000,4096.000000,362.079563,363.193791
8192.000000,8192.000000,8192.000000,376.056734,341.804331
16384.000000,16384.000000,16384.000000,368.062500,340.322838
32768.000000,32768.000000,32768.000000,282.712439,317.491111
