N_CTX,Triton [FP16],Triton [FP8],Flash-2,Flash-3,Torch SPDA,Sage,Sage-2
256.000000,0.087114,0.085677,0.102348,0.055952,0.056831,0.236681,0.151501
512.000000,0.096547,0.088951,0.107466,0.057967,0.101645,0.242073,0.174641
1024.000000,0.169567,0.169953,0.181352,0.123222,0.219386,0.533235,0.485662
2048.000000,0.447181,0.454894,0.508500,0.322169,0.574072,1.727188,1.652086
4096.000000,1.406700,1.426195,1.663957,0.988482,1.821353,6.372953,6.158748
8192.000000,5.020642,4.988832,5.866050,3.474972,6.093662,23.934793,23.732160
16384.000000,18.348870,17.674496,20.867376,12.864805,23.448416,93.225761,92.844063
