N_CTX,Triton [FP16],Triton [FP8],Flash-2,Flash-3,Torch SPDA,Sage,Sage-2
256.000000,0.012966,0.014166,0.015440,0.017301,0.014473,0.190719,0.186908
512.000000,0.020215,0.025163,0.028895,0.024398,0.025546,0.196620,0.188413
1024.000000,0.043633,0.060254,0.067132,0.043857,0.063715,0.234562,0.234708
2048.000000,0.121672,0.161400,0.171783,0.110038,0.170744,0.522874,0.521480
4096.000000,0.408860,0.518721,0.571835,0.365909,0.589657,1.414997,1.402009
8192.000000,1.588293,1.846729,2.152375,1.330192,2.210845,4.378616,4.345155
16384.000000,5.796738,6.779442,8.121856,4.887804,8.120198,15.282421,14.992208
