N_CTX,Triton [FP16],Triton [FP8],Flash-2,Flash-3,Torch SPDA,Sage,Sage-2
256.000000,0.085358,0.083752,0.098626,0.053582,0.057262,0.237927,0.130623
512.000000,0.089427,0.092742,0.104215,0.055925,0.101380,0.247271,0.183500
1024.000000,0.170152,0.169831,0.181400,0.123251,0.218884,0.534147,0.485683
2048.000000,0.447949,0.453308,0.507231,0.322317,0.568439,1.731877,1.654534
4096.000000,1.399102,1.419088,1.654328,0.996374,1.837541,6.470057,6.342204
8192.000000,5.017919,5.011060,5.862816,3.467476,6.210309,23.990744,23.712656
16384.000000,18.627923,18.655014,20.912976,13.884972,23.033648,93.309151,92.330879
