N_CTX,Triton [FP16],Triton [FP8],Flash-2,Flash-3,Torch SPDA,Sage,Sage-2
256.000000,0.011725,0.013640,0.014136,0.016354,0.013716,0.189386,0.190109
512.000000,0.023583,0.030040,0.026374,0.029255,0.025082,0.190627,0.190886
1024.000000,0.060690,0.078064,0.083943,0.067101,0.081883,0.215488,0.215489
2048.000000,0.198822,0.235605,0.262790,0.181232,0.266765,0.554150,0.550333
4096.000000,0.746999,0.832879,1.076301,0.709469,1.074836,1.616633,1.591265
8192.000000,2.902335,3.017793,4.174127,2.453103,4.089053,5.356758,5.310316
16384.000000,11.068556,11.583214,15.986507,10.533383,16.568838,18.615302,18.725287
