N_CTX,Triton [FP16],Triton [FP8],Flash-2,Flash-3,Torch SPDA,Sage,Sage-2
256.000000,0.012406,0.015069,0.014297,0.016525,0.013687,0.188705,0.192436
512.000000,0.021646,0.033054,0.026649,0.029050,0.025121,0.193113,0.192978
1024.000000,0.063923,0.096438,0.084159,0.067176,0.081839,0.216600,0.216981
2048.000000,0.193224,0.345208,0.266513,0.182776,0.270745,0.553114,0.552036
4096.000000,0.758233,1.328296,1.069743,0.709301,1.085534,1.617519,1.593579
8192.000000,2.933713,4.944612,4.089344,2.549739,4.272085,5.381828,5.308103
16384.000000,11.965699,19.432649,16.354288,10.454578,16.365274,18.663866,18.674330
