N_CTX,Triton [FP16],Triton [FP8],Flash-2,Flash-3,Torch SPDA,Sage,Sage-2
256.000000,0.013308,0.014782,0.015294,0.017310,0.014224,0.188437,0.188820
512.000000,0.021417,0.025175,0.028656,0.024296,0.025486,0.190192,0.187488
1024.000000,0.046724,0.060439,0.067092,0.043510,0.062909,0.235529,0.235579
2048.000000,0.126191,0.182779,0.172004,0.107868,0.170846,0.520806,0.517642
4096.000000,0.431183,0.612462,0.575372,0.362496,0.593637,1.419186,1.404898
8192.000000,1.650010,2.236715,2.129631,1.399848,2.144261,4.380285,4.349361
16384.000000,6.576445,8.367849,8.398442,5.254472,8.137658,14.823712,15.215915
