N_CTX,Triton [FP16],Triton [FP8],Flash-2,Flash-3,Torch SPDA,Sage,Sage-2
256.000000,0.083962,0.085834,0.094802,0.055073,0.056835,0.240139,0.142852
512.000000,0.090395,0.089278,0.106643,0.064360,0.107724,0.250541,0.226015
1024.000000,0.170043,0.170212,0.246677,0.164427,0.279580,0.788994,0.731082
2048.000000,0.448725,0.455142,0.778505,0.487005,0.839566,3.133833,3.066686
4096.000000,1.382403,1.425623,2.878011,1.705385,3.029086,11.738352,11.554836
8192.000000,4.984608,5.009516,10.512304,6.238142,10.953096,45.533392,45.269152
16384.000000,18.541363,17.427667,42.608465,25.514827,41.503311,179.459137,178.953690
